id,title,original_title,overview,release_date,popularity,vote_average,vote_count,original_language,adult,poster_path,backdrop_path,genre_ids
598,City of God,Cidade de Deus,"In the poverty-stricken favelas of Rio de Janeiro in the 1970s, two young men choose different paths. Rocket is a budding photographer who documents the increasing drug-related violence of his neighborhood, while José “Zé” Pequeno is an ambitious drug dealer diving into a dangerous life of crime.",2002-08-30,10.1872,8.427,7845,pt,False,/k7eYdWvhYQyRQoU2TB2A2Xu2TfD.jpg,/uvitbjFU4JqvMwIkMWHp69bmUzG.jpg,"18,80"
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",2001-12-18,37.239,8.4,26523,en,False,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,/z51Wzj94hvAIsWfknifKTqKJRwp.jpg,"12,14,28"
539,Psycho,Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1960-06-22,15.4198,8.4,10579,en,False,/yz4QVqPx3h1hD1DfqqQkCq3rmxW.jpg,/mufF1aYvwdpKerhq5R1YrVcbJLY.jpg,"27,53,9648"
40096,A Dog's Will,O Auto da Compadecida,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",2000-09-15,2.0909,8.4,1188,pt,False,/ctfNJw6gofTjQvhOZeH8QKt0O2x.jpg,/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg,"35,18,14,10749"
510,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,"A petty criminal fakes insanity to serve his sentence in a mental ward rather than prison. He soon finds himself as a leader to the other patients—and an enemy to the cruel, domineering nurse who runs the ward.",1975-11-19,11.5919,8.412,11005,en,False,/kjWsMh72V6d8KRLV4EOoSJLT1H7.jpg,/vMylmakO2K9cZexNUze8wa9muJp.jpg,18
121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",2002-12-18,18.2112,8.4,23036,en,False,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,/mshaKLtPUxcDBhzau6qiObEblhL.jpg,"12,14,28"
696374,Gabriel's Inferno,Gabriel's Inferno,"An intriguing and sinful exploration of seduction, forbidden love, and redemption, Gabriel's Inferno is a captivating and wildly passionate tale of one man's escape from his own personal hell as he tries to earn the impossible--forgiveness and love.",2020-05-29,3.3668,8.403,2435,en,False,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg,/w2uGvCpMtvRqZg6waC1hvLyZoJa.jpg,"10749,18"
255709,Hope,소원,"After 8-year-old So-won narrowly survives a brutal sexual assault, her family labors to help her heal while coping with their own rage and grief.",2013-10-02,5.4801,8.402,805,ko,False,/x9yjkm9gIz5qI5fJMUTfBnWiB2o.jpg,/4Nx40jwpoTHPjCWNGoaZ6kaoGxa.jpg,18
311,Once Upon a Time in America,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984-05-23,8.2633,8.4,5773,en,False,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg,/uPYa165sraN2c8gZBM9C47g3JoU.jpg,"18,80"
324857,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",2018-12-06,17.6285,8.395,16560,en,False,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,/8mnXR9rey5uQ08rZAvzojKWbDQS.jpg,"16,28,12,878"
1891,The Empire Strikes Back,The Empire Strikes Back,"The epic saga continues as Luke Skywalker, in hopes of defeating the evil Galactic Empire, learns the ways of the Jedi from aging master Yoda. But Darth Vader is more determined than ever to capture Luke. Meanwhile, rebel leader Princess Leia, cocky Han Solo, Chewbacca, and droids C-3PO and R2-D2 are thrown into various stages of capture, betrayal and despair.",1980-05-20,7.7714,8.394,17780,en,False,/nNAeTmF4CtdSgMDplXTDPOpYzsX.jpg,/dMZxEdrWIzUmUoOz2zvmFuutbj7.jpg,"12,28,878"
4935,Howl's Moving Castle,ハウルの動く城,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",2004-09-09,16.1258,8.394,10586,ja,False,/TkTPELv4kC3u1lkloush8skOjE.jpg,/nv5wwZou159v5OC61i4ElR7OqyY.jpg,"14,16,12"
378064,A Silent Voice: The Movie,映画 聲の形,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",2016-09-17,11.1165,8.385,4254,ja,False,/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,/5lAMQMWpXMsirvtLLvW7cJgEPkU.jpg,"16,18,10749"
423,The Pianist,The Pianist,"The true story of pianist Władysław Szpilman's experiences in Warsaw during the Nazi occupation. When the Jews of the city find themselves forced into a ghetto, Szpilman finds work playing in a café; and when his family is deported in 1942, he stays behind, works for a while as a laborer, and eventually goes into hiding in the ruins of the war-torn city.",2002-09-17,10.7009,8.4,9743,en,False,/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg,/1XqIhsqnAozznGhxlGdI0GPcCro.jpg,"18,10752"
807,Se7en,Se7en,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",1995-09-22,24.8096,8.377,22228,en,False,/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,/iwgl8zlrrfvfWp9k9Paj8lvFEvS.jpg,"80,9648,53"
244786,Whiplash,Whiplash,"Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",2014-10-10,16.5663,8.375,16006,en,False,/7fn624j5lj3xTme2SgiLCeuedmO.jpg,/5h8VtV4oh2qkO8Iqz7gypIYJPAr.jpg,"18,10402"
27205,Inception,Inception,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",2010-07-15,27.2714,8.37,38136,en,False,/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,/8ZTVqvKDQ8emSGUEMjsS4yHAwrp.jpg,"28,878,12"
